ross_inc_id,sitnum,time_since_disco,ic_name
53722,8,7,beth lund
144866,23,23,beth lund
144866,24,24,beth lund
147988,9,8,beth lund
147988,10,9,beth lund
147988,11,10,beth lund
147988,12,11,beth lund
147988,13,12,beth lund
147988,14,13,beth lund
147988,15,14,beth lund
147988,16,15,beth lund
161268,1,0,betts
133213,1,27,bill blount
48942,1,1,bill champion
48942,2,2,bill champion
48942,3,3,bill champion
48942,4,4,bill champion
78988,1,1,bill champion
78988,2,2,bill champion
78988,3,3,bill champion
97632,1,2,bill champion
136701,1,1,bill champion
53122,4,4,bill cowin
53122,5,5,bill cowin
53122,6,6,bill cowin
57101,1,0,bill edwards
57101,2,1,bill edwards
57101,3,2,bill edwards
57101,4,3,bill edwards
141201,4,3,bill hahnenberg
141201,5,4,bill hahnenberg
141201,6,5,bill hahnenberg
55710,4,5,bill hahnenberg
55710,5,6,bill hahnenberg
55710,6,7,bill hahnenberg
55710,7,8,bill hahnenberg
55710,8,9,bill hahnenberg
55710,9,10,bill hahnenberg
55710,10,11,bill hahnenberg
55710,11,12,bill hahnenberg
55710,12,13,bill hahnenberg
55710,13,14,bill hahnenberg
55710,14,15,bill hahnenberg
55710,15,16,bill hahnenberg
55710,16,17,bill hahnenberg
145152,5,5,bill hahnenberg
145152,6,6,bill hahnenberg
145152,7,7,bill hahnenberg
145152,8,8,bill hahnenberg
145152,9,9,bill hahnenberg
145152,10,10,bill hahnenberg
143331,3,2,bill hahnenberg
143331,4,3,bill hahnenberg
143331,5,4,bill hahnenberg
74029,3,3,bill hahnenberg
74029,4,4,bill hahnenberg
74029,5,5,bill hahnenberg
74029,6,6,bill hahnenberg
74029,7,7,bill hahnenberg
74029,8,8,bill hahnenberg
74029,22,22,bill hahnenberg
74029,23,23,bill hahnenberg
74029,24,24,bill hahnenberg
74029,25,25,bill hahnenberg
74029,26,26,bill hahnenberg
74029,27,27,bill hahnenberg
74029,28,28,bill hahnenberg
74029,29,29,bill hahnenberg
74029,30,30,bill hahnenberg
74029,31,31,bill hahnenberg
52711,7,7,bill hahnenberg
52711,8,8,bill hahnenberg
52711,9,9,bill hahnenberg
52711,10,10,bill hahnenberg
139422,1,1,bill king
158616,1,11,bill murphy
158616,2,15,bill murphy
58591,1,1,bill murphy
121089,1,0,bill nelson
121089,2,1,bill nelson
145031,1,1,bill panagopoulos
145031,2,2,bill panagopoulos
115814,2,1,bill panagopoulos
144723,2,2,bill panagopoulos
157893,1,1,bill panagopoulos
59229,1,0,bill rash
59229,2,1,bill rash
131607,1,3,bill robinson
109419,2,2,bill van bruggen
109419,3,3,bill van bruggen
144180,24,26,bill van bruggen
144180,25,27,bill van bruggen
144180,26,28,bill van bruggen
144180,27,29,bill van bruggen
144180,28,30,bill van bruggen
67773,2,3,bill van bruggen
67773,3,4,bill van bruggen
112782,1,0,bill waln
125138,1,1,bill waln
136933,1,0,bill willems
86278,1,2,bill woody
86278,2,3,bill woody
145134,1,1,billy brit
145134,2,2,billy brit
145134,3,3,billy brit
145134,4,4,billy brit
145134,5,5,billy brit
117553,1,0,billy britt
117553,2,1,billy britt
105841,1,1,billy britt
105841,2,2,billy britt
55487,1,0,billy britt
55487,2,1,billy britt
105691,1,1,billy britt / barry burt (t)
115308,1,0,billy see
130288,1,0,"birrell, hecht (t) "
72626,1,0,bishop 
130160,1,1,blackbear
136777,1,2,blackbear
147939,1,0,blackbear
147992,1,1,blackbear
158616,3,17,blaine tarbell
158616,4,18,blaine tarbell
158616,5,20,blaine tarbell
120835,6,12,blaine tarbell
122951,1,0,blair joiner
122951,2,1,blair joiner
122951,3,2,blair joiner
122951,4,3,blair joiner
106983,1,0,blaire westergard
162340,1,4,blake creagan
145583,2,7,blinn
145583,3,8,blinn
145583,4,12,blinn
